Event Name,Start Date,Description
Gulf War,1990-08-02,Iraq invaded Kuwait.
9/11 Attacks,2001-09-11,Global instability post attacks.
Iraq War,2003-03-20,Disrupted oil markets.
2008 Financial Crisis,2008-09-15,Demand collapse.
Arab Spring,2011-01-01,Supply uncertainty.
Iran Sanctions,2012-01-01,Supply cuts from Iran.
OPEC+ Cuts,2016-11-30,Production cut agreement.
COVID-19,2020-03-01,Oil demand collapse.
Oil Crash,2020-04-20,Negative prices recorded.
Ukraine War,2022-02-24,Price surge from conflict.
